type,client,tx,amount
deposit,65,3165933959,-893705230448405.2937
dispute,29,67213548,
deposit,71,2838625725,-317675450301707.2830
resolve,61,4143232379,
withdrawal,57,3473983164,-78751452108461.1319
resolve,62,3016305982,
resolve,27,4071359245,
dispute,32,2637956785,
deposit,9,3988048686,-482411274199094.6478
dispute,62,3191578388,
deposit,85,2421688060,895417101790293.3135
deposit,55,3799220235,-42286190470.3597
resolve,59,876386132,
deposit,75,3608627293,49567341048168.7250
dispute,56,1178329833,
dispute,93,2284597981,
withdrawal,78,2467693460,819708175506781.4308
deposit,73,218880765,859555626834736.6013
deposit,81,1949612888,237032138972037.3422
dispute,17,2012325060,
deposit,21,802543199,276840630310312.5332
dispute,77,3228964717,
withdrawal,0,682060830,380572719909670.3054
deposit,16,20311210,-29891049480031.2389
withdrawal,61,2138197057,768577422485201.7581
deposit,92,1105371603,-563715616230515.7220
resolve,24,2730313750,
resolve,91,489644423,
dispute,96,2573460199,
dispute,76,1428338222,
dispute,81,583853125,
withdrawal,47,2803019089,-641059789459270.7888
deposit,27,1326280458,-766629806717963.8357
withdrawal,0,1082167957,644962044563711.2443
withdrawal,24,2639878549,-178249453023393.6767
dispute,49,3173945894,
dispute,18,493855254,
withdrawal,27,3662480259,-758669402980278.7108
resolve,82,2417787308,
resolve,44,439906807,
withdrawal,40,1542656087,-56517706033706.9597
deposit,57,1814379873,146331136976981.7996
withdrawal,56,2310378361,-485467019457433.4061
dispute,22,3157721726,
dispute,15,2713425839,
resolve,14,4120919512,
resolve,62,82885714,
deposit,75,3589589127,-151007595762973.2209
deposit,84,3049263946,76253938597135.9083
resolve,63,1028606419,
resolve,89,4140379953,
dispute,72,971977655,
dispute,89,3043257597,
dispute,94,290398698,
withdrawal,27,2663867178,716706685159165.5517
withdrawal,20,4211475291,-523427361629254.9171
deposit,47,2454047465,-22782478767628.2303
dispute,98,3410888185,
resolve,17,3895198443,
resolve,54,2217486154,
withdrawal,9,866893029,290584085402227.0169
resolve,85,3214628021,
resolve,74,3360211632,
resolve,16,2014885414,
dispute,20,2403991790,
deposit,49,3236219710,-549545493219292.4193
dispute,14,433066699,
resolve,83,3965937131,
withdrawal,8,3535772512,391891159288954.4818
withdrawal,78,2605749445,674310554015864.2024
dispute,40,4007664830,
dispute,11,2151344401,
dispute,89,2631437928,
dispute,77,1003822721,
withdrawal,47,3186300553,106143651519524.4345
withdrawal,78,1194215516,318957366245735.5788
resolve,67,316291246,
withdrawal,90,2761503827,337817047275947.7523
deposit,10,4204940239,-711847621234328.4075
withdrawal,77,1911152958,749748415468094.0480
withdrawal,38,3370324580,-387725967659900.3210
resolve,9,250989069,
dispute,3,3125412208,
deposit,51,3418496445,-667623977061164.1613
withdrawal,34,952995863,523073727825218.2055
deposit,29,2823220266,-777546377121534.9864
withdrawal,56,1664659569,-142966380119938.2993
resolve,1,2534495992,
withdrawal,68,3155482129,-333692798333576.8397
deposit,45,1680905247,-480460375300119.7412
deposit,4,2543881022,341976284287728.7320
deposit,40,322730763,636567526720195.5842
withdrawal,42,1759130876,85513918979732.6365
resolve,90,2329698546,
deposit,57,505722901,-132945193050393.6573
dispute,34,2651315419,
deposit,24,3742354833,266002302950150.5564
deposit,90,1742934776,-287949545289942.2236
dispute,35,2972498908,
resolve,13,1040584898,
resolve,83,2094034738,
resolve,50,1193930905,
resolve,18,1529113091,
withdrawal,93,2817243710,364364643215795.8790
deposit,11,1774908302,-395651456339706.1090
resolve,85,1753675509,
withdrawal,36,3355235312,830693434533981.8107
dispute,86,3921367039,
resolve,89,3809294977,
dispute,20,1622195016,
withdrawal,23,2256504039,468862176011931.7920
withdrawal,73,3660007686,223212373417671.6358
resolve,10,4186802333,
withdrawal,12,302816057,143467696193424.1394
withdrawal,47,1747572214,345699681343532.6289
dispute,12,2322981315,
withdrawal,24,63763230,-627680729699190.9295
dispute,23,3498388907,
resolve,3,1300584339,
resolve,9,1530087415,
dispute,67,3908127084,
resolve,2,3844068279,
withdrawal,29,1841822483,342927116579591.3430
resolve,0,1647163847,
deposit,85,2236126644,-741486342750833.0541
dispute,89,1414388474,
resolve,29,284697624,
resolve,99,1114793802,
dispute,87,584291076,
resolve,99,2450390752,
deposit,1,2306152066,220507752687619.8192
deposit,70,4030581336,287444849139022.5524
withdrawal,87,4036402439,-697045276545332.6879
withdrawal,35,2985950548,-348261884102665.1462
withdrawal,30,1514754711,4778283990390.0110
resolve,6,2729251663,
dispute,80,3284813403,
resolve,48,376919508,
withdrawal,71,385210585,-535614298590251.0218
withdrawal,65,3992429382,-553876719217316.4530
dispute,62,3904297754,
dispute,70,3611868341,
resolve,59,2316531902,
dispute,23,3255854451,
dispute,92,1451345171,
resolve,32,20446933,
withdrawal,41,2458071192,-685848768256744.8894
withdrawal,11,1273544005,-314813130419118.5750
deposit,11,3845178859,114130476448570.7821
deposit,98,3681463583,91764132615445.3296
deposit,93,3780591487,-521618286162116.3651
deposit,11,1936865565,-344297488029811.8449
withdrawal,17,4134084226,909812929720358.3306
deposit,75,2823433324,-200890956994499.5157
withdrawal,18,1936822340,-332816312637874.5215
deposit,44,1272026198,211680080383985.9226
deposit,27,2973960542,68976048485590.6735
dispute,34,3901489023,
dispute,0,4160848056,
resolve,57,2252101904,
deposit,60,3470796283,-380885383258806.7918
dispute,81,2833196692,
resolve,97,1421960654,
withdrawal,0,4140354281,85898958550471.2149
resolve,26,1118779434,
resolve,47,312228588,
resolve,80,3510413770,
withdrawal,44,3230891856,-277497444227211.7872
resolve,18,4056660071,
resolve,5,1012134292,
withdrawal,89,3709160639,-910823500541485.2076
resolve,33,1704124279,
withdrawal,56,4040357271,403376630645878.5776
dispute,54,3357491183,
withdrawal,52,3320095288,-519282957742526.9101
deposit,25,157876584,-876522904549569.3718
resolve,90,525166814,
withdrawal,72,22819250,64746747454966.7235
resolve,83,317217249,
withdrawal,2,503173150,500958547355754.9643
deposit,22,3793539465,-781364996565080.3446
deposit,1,3435111040,245767688765299.9394
deposit,76,3373336395,-870223503288444.9738
deposit,34,1994222292,-451069744249042.3270
deposit,6,1813249245,522310533391738.8764
dispute,76,1140117500,
resolve,76,739912220,
deposit,35,832273538,205900849497415.5577
resolve,28,3429342270,
resolve,74,1638669087,
deposit,55,1514133087,-803131354953790.9296
resolve,15,1821551907,
withdrawal,28,2625923346,61090697596704.5950
dispute,74,817155999,
resolve,5,3308968411,
dispute,90,2804066739,
withdrawal,37,740651512,-646774181273512.7847
resolve,79,1148876926,
resolve,31,1179770156,
deposit,10,883554122,-781998564132591.5701
deposit,24,373134383,-856009969311445.0684
deposit,61,2109688177,48309342921765.1772
withdrawal,52,3628949248,-343024995554564.9835
resolve,82,318109604,
dispute,45,2118776215,
resolve,75,3941138180,
resolve,27,2027737343,
withdrawal,9,613548970,192368913328025.7582
resolve,43,3538012727,
resolve,96,551579458,
withdrawal,61,1333153208,18461079640697.6275
deposit,85,1523520875,-571662092494818.9487
resolve,26,3266781027,
withdrawal,97,3450446496,189743012314975.8190
resolve,29,3592639184,
resolve,57,3643873908,
withdrawal,16,589544678,-276859133961198.7511
withdrawal,80,370688689,74657116067367.5811
resolve,94,2366983988,
withdrawal,35,107896011,-633414444866655.2480
withdrawal,42,348144293,161872994139821.0116
deposit,14,4250695812,385976622131498.9809
withdrawal,47,588560594,618248690858833.0366
withdrawal,31,3272026010,-651317441678722.5825
dispute,76,4134154892,
deposit,99,6800537,-369568507208317.9690
deposit,17,2259650386,-762140245657887.0783
resolve,59,377217708,
resolve,25,483793920,
withdrawal,71,3023587815,898013981143975.7170
resolve,90,3255751788,
resolve,42,389167316,
resolve,39,2350316431,
dispute,13,2899026723,
resolve,73,3166408118,
dispute,4,1309632190,
dispute,74,207875049,
resolve,60,73990066,
dispute,60,554877198,
withdrawal,64,1653619754,-575577471530345.2459
deposit,63,4273143935,399039517035890.7454
dispute,71,3296818090,
dispute,72,2938526232,
dispute,47,1582217054,
withdrawal,29,1686059318,-489448165778026.4664
withdrawal,69,2130278878,26994906896683.1534
dispute,29,401824068,
withdrawal,20,882497140,-642495592831880.7594
withdrawal,98,711674028,446740718196254.3636
withdrawal,8,1266468608,12620699981876.5401
resolve,85,2575709138,
resolve,39,2154639003,
dispute,42,571466209,
dispute,62,2368967316,
withdrawal,51,2960429867,-320250554917005.7710
withdrawal,71,3816320299,423161854324660.7552
deposit,91,2411778296,613395516128082.8230
resolve,7,3382567246,
dispute,53,1758968965,
deposit,1,3105386835,-698643070733184.6843
dispute,7,1664662903,
withdrawal,81,772562661,704127553465278.8174
deposit,30,2650191790,-374732735040513.5468
dispute,29,644217494,
withdrawal,65,2309578146,-412471908015145.4288
deposit,15,3348627474,857083604080322.0241
withdrawal,49,839181781,-805370615230214.4462
withdrawal,34,2288183809,920074770072057.1186
dispute,79,3993289467,
dispute,98,1684556112,
withdrawal,21,1103869175,-326689697476347.7177
dispute,4,763616205,
dispute,37,1455278065,
withdrawal,87,992283568,-433071263823853.4731
dispute,69,1705605114,
deposit,62,553519399,332047815210739.7278
dispute,10,2496330892,
deposit,38,2758775857,-558069545302833.9753
withdrawal,9,3605693319,-543068812067335.5745
withdrawal,23,917132951,-319372326165337.8817
dispute,39,1191510453,
withdrawal,95,3609028141,643087078535445.2812
withdrawal,55,3857764841,526398951284693.2466
dispute,36,1258620712,
deposit,44,3467725086,-717440807821469.0693
withdrawal,4,1431627846,-864877934986381.3061
withdrawal,76,1728643781,235520322144538.7958
dispute,65,3903295769,
dispute,50,296757166,
withdrawal,17,1871613421,-100088760867593.6732
dispute,60,1562839557,
withdrawal,40,343450570,-358177747112169.2557
withdrawal,44,1624606954,-148037699146785.8069
deposit,86,447632702,-612303021351196.8184
withdrawal,1,3575060566,-432456345564475.7252
resolve,90,2862206643,
withdrawal,60,4043341676,483218015817252.8310
withdrawal,81,290917854,37552372343701.6909
deposit,98,2335192305,-699861917313839.4171
resolve,82,2161379474,
resolve,89,2898296599,
withdrawal,69,908161736,-244976337935842.4922
dispute,97,1669283523,
withdrawal,18,3587931856,49191454401116.0429
resolve,99,4220460400,
dispute,12,3007502430,
dispute,54,4086097093,
resolve,42,2653637471,
deposit,14,1898433052,778979118364312.4433
resolve,75,730812430,
resolve,82,2278232086,
dispute,66,227316659,
resolve,31,3061636409,
withdrawal,28,2915845392,764578632309158.7741
dispute,15,819694016,
dispute,59,2124970092,
deposit,50,4278916984,44302868352784.9001
dispute,26,261421852,
resolve,70,406195327,
deposit,12,2050824522,216349086639252.4405
withdrawal,54,3434454004,-245028362115027.0080
deposit,22,4068971931,436524142894846.1171
dispute,66,3948611271,
deposit,83,3126800265,566877113794983.2494
resolve,46,3549022497,
withdrawal,10,772360641,-505577031663459.0415
withdrawal,79,2977307061,-199505885968382.3778
resolve,44,4001260603,
deposit,30,1429091731,212394863672865.9129
resolve,21,2554996139,
resolve,33,2712149023,
dispute,12,1951867740,
deposit,44,687535725,557068977028538.2829
resolve,68,2017775722,
resolve,61,2402827550,
resolve,86,1187794809,
resolve,65,704737026,
withdrawal,84,2788833709,-663587521349811.8886
withdrawal,56,3973808206,827070385685321.1820
withdrawal,42,3619857766,715944159294742.6799
dispute,26,1385934534,
resolve,50,3188806425,
deposit,53,641451259,896584127290621.7221
deposit,96,644465814,-664829278328937.6440
dispute,36,124431695,
withdrawal,65,2089301688,-219027370584517.2007
resolve,28,2778240943,
withdrawal,81,3008809055,170958439095910.8371
resolve,91,578506578,
dispute,68,3646980317,
withdrawal,19,9275168,-708851684805142.1436
withdrawal,41,2411391111,-658336984768571.6586
withdrawal,18,3473371488,833180567111607.3937
deposit,95,2644614973,-289358678811971.1261
withdrawal,27,536998883,-130265808481360.8187
dispute,95,318197857,
withdrawal,35,134390981,678586729022845.2191
dispute,46,790905701,
deposit,56,3277707346,-849877440317713.7048
dispute,61,2147320435,
deposit,11,1089653934,-824929135702018.3463
dispute,13,2854635092,
dispute,47,1840776081,
resolve,38,662234756,
resolve,40,4027076412,
withdrawal,49,3192377542,806964548935245.6715
dispute,12,1964387643,
deposit,47,103377257,-395207117147457.1112
